,begin_quarantine,full_quarantine,time_to_full_quarantine,strength_of_quarantine,length_of_full_quarantine,day_quit_quarantine,increase_rate_from_quit_quarantine,increase_before_drop,quarantine_enforcement
Dusseldorf,60.29608451335616,63.564260839151046,3.2681763257948893,90.99214600405301,12.435743585313318,76.00000442446436,0.8652935758875635,48.34714285714287,142.1107976331361
Edinburgh,60.33679299607753,65.64608194188045,5.309288945802927,100.8511497982309,30.35372828635272,95.99981022823317,0.09333845241415092,10.454285714285717,67.79402622222223
Edmonton,59.957104510958295,64.91410533427741,4.957000823319118,82.36577058124874,28.669750145821368,93.58385548009878,0.3895885042187752,7.799999999999997,83.96029702734837
El Paso,62.22513774332343,69.67937022422221,7.45423248089878,67.3655831091894,25.161131782555216,94.84050200677743,0.5638101895477782,3.278571428571439,107.062896
Eugene-Springfield,59.84281068209407,65.53204879474525,5.6892381126511875,83.12349356133087,45.46802564319296,111.00007443793821,0.24039717924604717,2.231428571428566,41.53911176748583
Fresno,19.5,20.5,1.0,68.705,74.5,95.0,1.0,-13.04285714285713,1076.2140612266664
Fuji,79.24364793949275,85.29350464528781,6.049856705795078,66.20180540605313,27.70660612486543,113.00011077015324,1.4389408206570276,61.07571428571427,53.71985038265306
Fukuoka,85.77320016692295,96.57998927118882,10.806789104265865,56.07280636145216,-1.087167973423675e-05,96.57997839950909,0.8665177818014388,13.994285714285724,0.0
Geneva,58.27617490253179,62.60669188980707,4.330516987275277,91.58077201226551,27.239673716359235,89.8463656061663,0.6268639938982006,4.204285714285703,41.84445925925925
Glasgow,60.29558983965811,65.89880027941733,5.603210439759215,93.92426275534393,16.101131011990475,81.9999312914078,0.11411240645485997,11.789999999999992,114.5092984375
Gothenburg,55.94624513816415,61.676522088636965,5.730276950472819,60.968446657411576,2.3234739196529333,63.9999960082899,0.3440850359260839,10.602857142857133,1.5625
Grand Rapids,5.5,6.5,1.0,57.785,88.5,95.0,1.0,-68.19571428571429,757.9241523545007
Greensboro,60.92832699574418,66.78769906502697,5.859372069282799,45.24287124398642,23.21229476749629,89.99999383252326,0.3125786699331718,-16.62857142857142,48.61322003780719
Halifax,61.69385118113896,65.0656819006395,3.3718307195005384,79.2265848513956,37.97227913485227,103.03796103549178,0.3049610390301378,0.3114285714285785,38.52987756232687
Hamamatsu,80.36955360027925,87.09569870342598,6.7261451031467265,52.90145283052604,25.904216307062455,112.99991501048844,1.5147259283364383,37.042857142857144,38.983655999999975
Hamburg,60.961949729031296,63.1448034058706,2.1828536768392945,101.56644092000656,12.855911803404616,76.00071520927521,0.8788695578917151,77.15428571428569,86.31343905325444
Hannover,60.47776189860014,63.32396956638298,2.8462076677828403,77.5551484605842,9.418375346804133,72.74234491318711,0.8251425229777786,40.48857142857142,121.45844444444447
Hartford,60.782853032689864,67.0292410093657,6.246387976675848,81.61558560987366,10.970872978573198,78.0001139879389,0.3908488845747223,10.064285714285717,98.91996859504133
Helsinki,58.360623116192635,62.87494867530048,4.514325559107848,71.50653240609186,25.994084117943878,88.86903279324436,0.5325420479938417,14.545714285714283,49.7808149408284
Hiroshima,82.02295287114835,88.95382451116474,6.930871640016395,67.74177000464186,24.46306947651557,113.41689398768031,1.4211120150681138,24.168571428571425,54.041098240000004
Honolulu,59.545998693050166,66.93876483124862,7.392766138198453,81.56142827580766,29.38554763333785,96.32431246458647,0.17782850529633176,-15.164285714285725,45.58674233333332
Houston,60.72803431822197,65.6614358469049,4.933401528682917,57.007465861358675,30.575854785612407,96.2372906325173,0.4887532553802517,-0.2971428571428447,41.71073257023933
Indian Wells,57.15239476613623,66.68204121235397,9.529646446217738,82.06491508811001,23.317960910886285,90.00000212324025,0.2546262433912706,-0.15857142857142037,60.97421875
Indianapolis,60.000033717744785,64.2111347282812,4.211101010536414,50.85313280179011,25.78886171986578,89.99999644814697,0.33537028990107487,3.0228571428571342,38.38233503999999
Jacksonville,62.98342322909542,70.30767727997028,7.32425405087486,52.43588480330895,21.958098396594764,92.26577567656504,0.5422504398276318,-0.5700000000000074,66.59801735537191
Kagoshima,88.12990714615265,95.00000033773225,6.870093191579613,50.375152413431415,-3.377322457254195e-07,95.0,1.0,21.090000000000003,0.0
Kanazawa,81.3472196818097,86.72813568142631,5.380915999616611,81.03853091663558,25.881921964571603,112.61005764599791,1.172682801596888,53.650000000000006,86.92365399408283
Kansas City,60.76727262054657,64.58519764867722,3.81792502813065,47.68254878314944,32.41473079274921,96.99992844142643,0.32808409905236346,-1.1685714285714397,47.46837021484374
Kitakyushu,80.95558443772437,84.98517637653488,4.029591938810519,51.63992918886966,27.546610593174037,112.53178696970892,1.484022230672694,30.651428571428568,43.66965446428572
Kumamoto,81.97241979299797,89.47782468290428,7.505404889906321,53.132035662924935,24.20045794667074,113.67828262957502,1.459629659904541,31.160000000000025,36.2432972222222
Lansing,4.5,5.5,1.0,52.445,89.5,95.0,1.0,-89.59142857142857,573.8076880987655
Las Vegas,60.5387795145665,65.35304624670627,4.814266732139764,69.03478216157156,29.250597634114243,94.60364388082051,0.4172232264650677,1.6328571428571337,25.164855648038053
